throw,prob
10,1.8e-8
11,1.63e-7
12,9.05e-7
13,3.707e-6
14,1.1824e-5
15,3.3296e-5
16,8.2685e-5
17,0.000187483
18,0.000393772
19,0.000767983
20,0.001410221
21,0.002442212
22,0.00403611
23,0.006337133
24,0.009535612
25,0.013749928
26,0.019042136
27,0.025389965
28,0.032621359
29,0.040462207
30,0.04846756
31,0.056125493
32,0.06287578
33,0.068163216
34,0.07152642
35,0.072692707
36,0.071537145
37,0.06814759
38,0.062863389
39,0.056127033
40,0.048468727
41,0.040461808
42,0.032617795
43,0.025392475
44,0.019035285
45,0.013740572
46,0.009538894
47,0.006339942
48,0.004033447
49,0.002448123
50,0.00140843
51,0.00076766
52,0.000391449
53,0.000187546
54,8.2937e-5
55,3.3118e-5
56,1.1897e-5
57,3.698e-6
58,9.5e-7
59,1.67e-7
60,2.8e-8